COD;DESCC;SIGLAS
100;CIMEX;CIMEX
102;Ministerio de Industrias;MINDUS
103;Ministerio de la Industria Sidero Mecánica;SIME
104;Ministerio de Energía y Minas;MINEM
105;Ministerio de la Industria Básica;MINBAS
107;Ministerio de la Industria Ligera;MINIL
108;Ministerio del Azúcar;MINAZ
109;Ministerio de la Industria Pesquera;MIP
110;Ministerio de la Industria Alimenticia;MINAL
111;Ministerio de la Industria Alimentaria;MINAL
113;Instituto Nacional de Recursos Hidráulicos;INRH
126;Ministerio de la Construcción;MICONS
131;Ministerio de la Agricultura;MINAG
151;Ministerio del Transporte;MITRANS
152;Instituto de la Aeronáutica Civil de Cuba;IACC
153;Instituto Nacional de Reservas Estatales;INRE
161;Ministerio de Comunicaciones;MINCOM
171;Ministerio del  Comercio Interior;MINCIN
173;Ministerio del Comercio Exterior;MINCEX
174;Ministerio del Comercio Exterior y la Inversión Extranjera;MINCEX
177;CEATM Nivel Central;CEATMNC
191;INSAC Nivel Central;INSACNC
201;INTUR Nivel Central;INTURNC
211;Ministerio de Ciencia,Tecnología y Medio Ambiente;CITMA
221;Ministerio de Educación;MINED
223;Ministerio de Educación Superior;MES
233;Instituto Cubano de Radio y Televisión;ICRT
234;Ministerio de  Cultura;MINCULT
241;Ministerio de Salud Publica;MINSAP
242;Instituto Nacional de Deportes,Educación Física y Recreación;INDER
249;Contraloría General de la República;CGR
250;Ministerio de Auditoría y Control;MAC
251;Banco Nacional de Cuba;BNC
252;Comité Estatal de Finanzas Nivel Central;CEFNC
253;Banco Popular de Ahorro;BPA
254;Ministerio de Finanzas y Precios;MFP
255;Ministerio para la Inversión Extranjera  y la  Colaboración Económica;MINVEC
256;Ministerio del Turismo;MINTUR
257;Banco Central de Cuba;BCC
258;Banco de Crédito y Comercio;BANDEC
259;Banco Exterior de Cuba;BEC
261;Ministerio de Economía y Planificación;MEP
262;Ministerio de Trabajo y Seguridad Social;MTSS
263;Ministerio de Justicia;MINJUS
264;Ministerio de Relaciones Exteriores;MINREX
265;Instituto de la Demanda Interna;IDI
266;CECE Nivel Central;CECENC
267;Tribunal Supremo Popular;TSP
268;Fiscalía General de la República;FGR
269;Comité Estatal de Precios Nivel Central;CEPNC
271;Ministerio de las Fuerzas Armadas Revolucionarias;MINFAR
272;Ministerio del Interior;MININT
278;ONDI;ONDI
281;Secretaría Ejecutiva para Asuntos Nucleares;SEAN
283;Instituto Cubano de Hidrografía;ICH
284;Instituto Nacional de Geodesia y Cartografía;INGC
300;Consejo de Estado;CE
301;Poder Popular Nacional - Asamblea Nacional;ANPP
302;Comité Ejecutivo del Consejo de Ministros;CECM
304;Aduana General de la República Nivel Central;AGR
305;Consejo de Ministros;CM
306;Oficina del Historiador de la Ciudad de la Habana;OHCH
311;Poder Popular de Pinar del Rio;PPPR
312;Poder Popular de La Habana;PPHB
313;Poder Popular de La Habana;PPLH
314;Poder Popular de Matanzas;PPMT
315;Poder Popular de Villa Clara;PPVC
316;Poder Popular de Cienfuegos;PPCF
317;Poder Popular de Sancti Spíritus;PPSS
318;Poder Popular de Ciego de Ávila;PPCA
319;Poder Popular de Camagüey;PPCM
320;Poder Popular de Las Tunas;PPLT
321;Poder Popular de Holguín;PPHG
322;Poder Popular de Granma;PPGR
323;Poder Popular de Santiago de Cuba;PPSC
324;Poder Popular de Guantánamo;PPGT
325;Poder Popular de Isla de la Juventud;PPIJ
326;Poder Popular de Artemisa;PPAR
327;Poder Popular de Mayabeque;PPMY
501;Partido Comunista de Cuba;PCC
502;Unión de Jóvenes Comunistas;UJC
503;Organización de Pioneros José Marti;OPJM
504;Central de Trabajadores de Cuba;CTC
505;Federación de Mujeres Cubanas;FMC
506;Comité de Defensa de la Revolución;CDR
507;Asociación Nacional de Agricultores Pequeños;ANAP
658;GRUPO AZUCARERO;AZCUBA
692;Grupo de las Industrias Biotecnológica y Farmacéutica;BIOCUBAFARMA
934;Sociedad de Educación Patriótico Militar;SEPMI
936;Plan de Desarrollo Turístico Norte Sur zona Oriental;PDTNSO
937;Metro de Ciudad de La Habana;MCH
998;No se subordina a un Organismo;NOSUBORDINAD
999;Organismo Desconocido;DESCONOCIDO!
